Acquisition_Number;principal_component_1;principal_component_2;label
52;0.039399558258243005;0.15501299070666522;guasto
52;0.03853386655714806;0.15283395424400753;guasto
52;0.037408219981956335;0.1528303301549274;guasto
52;0.03880102798988636;0.15432648330062756;guasto
52;0.03585085423659742;0.15451217527608754;guasto
52;0.04092595714975737;0.15487877089362892;guasto
52;0.036284406690730166;0.15053169779413306;guasto
52;0.036284406690730166;0.15053169779413306;guasto
52;0.03161623804060023;0.153759295445821;guasto
52;0.03537364189263701;0.15208306207303013;guasto
52;0.0357471283906332;0.14985217101361747;guasto
52;0.0380045977936317;0.14996397052698546;guasto
52;0.03729659705536927;0.15105772998768127;guasto
52;0.04248144089924444;0.15333709754807717;guasto
52;0.03751849201147432;0.15184776728405996;guasto
52;0.03586273730992788;0.15449161096270053;guasto
52;0.04013202304460511;0.15461724579518146;guasto
52;0.03883233924310229;0.15179526764302714;guasto
52;0.03602827387304402;0.15232792974202777;guasto
52;0.03607869639704688;0.14930353455684495;guasto
52;0.03630012864656748;0.15070828776720246;guasto
52;0.03748460461535614;0.15172787095337328;guasto
52;0.03748460461535614;0.15172787095337328;guasto
52;0.03725392810272859;0.15485497444360946;guasto
52;0.03437635739457303;0.1529898070996868;guasto
52;0.0349375735014469;0.1501499187977694;guasto
52;0.033988497139132615;0.15212768736444002;guasto
52;0.030780814070107545;0.152068444136545;guasto
52;0.03431878044142049;0.15281136052806601;guasto
52;0.04050902334963119;0.15254483806668995;guasto
52;0.039116286365983584;0.15311195144815054;guasto
52;0.03817145121105159;0.15357753474177524;guasto
52;0.03670161573594449;0.15315586880007848;guasto
52;0.03725952010650228;0.1522403436530817;guasto
52;0.037339787120703904;0.15251468998141157;guasto
52;0.03304874189951313;0.1536327341667672;guasto
52;0.03536640939590206;0.15212000886614419;guasto
52;0.03575438456637342;0.15296911698450702;guasto
52;0.03544657321894349;0.15349889338582884;guasto
52;0.03316317235635193;0.1504000489014302;guasto
52;0.03699980831204769;0.15176740135619982;guasto
52;0.03942477356588448;0.1519597794267486;guasto
52;0.03967863719659435;0.1543391140499499;guasto
52;0.04089725743378221;0.1558013073036751;guasto
52;0.037829453660511644;0.15755820084284458;guasto
52;0.03636714608753389;0.1550214789017401;guasto
52;0.0349923954110481;0.15269615083192137;guasto
52;0.03821097542870097;0.15331971061597927;guasto
52;0.031973942495996124;0.15090060305584252;guasto
52;0.035437970360378324;0.15482097135179837;guasto
52;0.03774329700993782;0.15447347735391467;guasto
52;0.04103764163992746;0.15146889368960512;guasto
52;0.038410357961551615;0.15144390445449515;guasto
52;0.03244947051584157;0.15184644032844394;guasto
52;0.034153990930203104;0.15458016067368477;guasto
52;0.03490433648717592;0.15597106157190543;guasto
52;0.033694255810985126;0.1541052994506233;guasto
52;0.03321485944887308;0.15228523289314788;guasto
52;0.03399199109557014;0.15329756924771673;guasto
52;0.03701312375373302;0.15225310504647102;guasto
52;0.03649286418367556;0.15303271153628478;guasto
52;0.03326428293539558;0.15019865131994642;guasto
52;0.041167392154434296;0.1540450725708414;guasto
52;0.038518507129249695;0.15184102181756043;guasto
52;0.03446785269935372;0.15191390545234;guasto
52;0.03769358736730859;0.15579687666801884;guasto
52;0.03285187679344854;0.15427710595189054;guasto
52;0.03327709331636915;0.15458967029214074;guasto
52;0.03330864785371964;0.15274309202961775;guasto
52;0.03483890494773773;0.1521555500750106;guasto
52;0.03680540184547833;0.15500132634284478;guasto
52;0.03857253853133506;0.15285200469695812;guasto
52;0.03778535644044994;0.153296624618955;guasto
52;0.039875112929196266;0.15227367381388165;guasto
52;0.035663463862958544;0.1532601203558387;guasto
52;0.03516807864476644;0.1563732358567005;guasto
52;0.035334019919610084;0.15667379777678528;guasto
52;0.037437851390824554;0.15323914002338612;guasto
52;0.03752252569047465;0.15435882195550782;guasto
52;0.03769040426186621;0.15354100060539524;guasto
52;0.03681249778602317;0.15396276191050381;guasto
52;0.03730623120929397;0.1523716179175208;guasto
52;0.03700511159975604;0.1529585003001269;guasto
52;0.03482642069755313;0.1515432384002152;guasto
52;0.0312207930602658;0.14960595607929858;guasto
52;0.03436265998966086;0.15145918226618796;guasto
52;0.035801899128733924;0.15399148179932137;guasto
52;0.03688543554256832;0.15448508001546135;guasto
52;0.04136179860025513;0.15498148650149432;guasto
52;0.03971675296585684;0.1539732066571766;guasto
52;0.03487720280545286;0.15087424288951953;guasto
52;0.0334786815611733;0.1521430619672549;guasto
52;0.033041284423448225;0.15128758122524077;guasto
52;0.03211958922074565;0.15057785043724936;guasto
52;0.03524976909609103;0.1514873032698992;guasto
52;0.03665800529653122;0.1512420404076315;guasto
52;0.03490128407877273;0.15076291111649723;guasto
52;0.033866076837133365;0.15253458551052632;guasto
52;0.037392947874830385;0.1537513135230787;guasto
52;0.03454847483196361;0.15176305933860482;guasto
52;0.03738815260839711;0.15315664357343328;guasto
52;0.03275760539614386;0.1502805216856291;guasto
52;0.0345414529550432;0.15334443252867022;guasto
52;0.0345414529550432;0.15334443252867022;guasto
52;0.03579762276722079;0.1526687245041563;guasto
52;0.03564168723568412;0.15065318406829944;guasto
52;0.036233336030161115;0.15088361035601805;guasto
52;0.03504859802958146;0.1482888000085447;guasto
52;0.03512991672382949;0.1504719701132637;guasto
52;0.03354313250023844;0.15195394695178974;guasto
52;0.03858775072126635;0.15524545788622435;guasto
52;0.035807692947701884;0.1538100881265992;guasto
52;0.039111443019617886;0.1546618132795689;guasto
52;0.03707617332547395;0.15116757670618278;guasto
52;0.036415585331438814;0.15240871853550012;guasto
52;0.03943637290572016;0.1526006023287193;guasto
52;0.03548042048223499;0.14999812417803135;guasto
52;0.03697304810357945;0.15249496513245234;guasto
52;0.03916180217069476;0.15455017635507196;guasto
52;0.03711532842624536;0.15273736597808438;guasto
52;0.0363474882751494;0.15159888603961597;guasto
52;0.03860825061566144;0.15375527061297775;guasto
52;0.035707757849209626;0.15072717358395984;guasto
52;0.03719927675884006;0.1509228647268581;guasto
52;0.037891592440212306;0.15102101121683442;guasto
52;0.04329667941467532;0.154380603429307;guasto
52;0.04246177776024327;0.15470377141116406;guasto
52;0.03868679645863268;0.15611217357813661;guasto
52;0.034143774141275826;0.15574930181797284;guasto
52;0.03450286465760583;0.15583523759634205;guasto
52;0.039602546093368635;0.15618966251062394;guasto
52;0.034871373685632534;0.1522682604080737;guasto
52;0.03720946024692884;0.15293813021589062;guasto
52;0.03963676020073792;0.155764770034147;guasto
52;0.038289988342315735;0.15126278304792612;guasto
52;0.036210513035302726;0.15056297362900964;guasto
52;0.03426793201284106;0.15143185339332274;guasto
52;0.03618944411100517;0.15397157357780814;guasto
52;0.03656409341686255;0.15491363135955286;guasto
52;0.03805563642838392;0.15376641681084904;guasto
52;0.03595921865926967;0.15262588949371086;guasto
52;0.037068311365479216;0.1498297686905641;guasto
52;0.036944641708235144;0.15343022421681146;guasto
52;0.03408160550850747;0.15197898854274253;guasto
52;0.03427839074959888;0.15261325535116374;guasto
52;0.03539529862573033;0.15310616884082162;guasto
52;0.034098701640542614;0.15349363564187685;guasto
52;0.035515146449177894;0.15255584830443983;guasto
52;0.033191706390145716;0.15113937735434285;guasto
