Acquisition_Number;Discrete_Time;Board1Acc1;Board1Acc2;Board1Acc3;Board2Acc1;Board2Acc2;Board2Acc3;Board3Acc1;Board3Acc2;Board3Acc3;label
2;300971;0.8920136369295985;0.8947151595418631;0.8161401295026944;0.5340798735903288;0.8626631663051114;0.9347152195528278;0.8870748033611497;0.8170298277999242;0.5950025250632129;no_guasto
2;300972;0.8906205991302628;0.896806063425921;0.8160708472925193;0.5333296697714835;0.8635294653874735;0.933937429087234;0.8884460192000487;0.8197596982564186;0.601697567344221;no_guasto
2;300973;0.8897373002566531;0.8985447328024557;0.8138177684676554;0.5318811751533457;0.8649616324255324;0.9336240508013696;0.8860559217220033;0.8183675299917474;0.6003579578472643;no_guasto
2;300974;0.8896202591971529;0.89745185471403;0.8136307098760615;0.5317337001832664;0.8663938874898407;0.9340918518997572;0.8854969573677245;0.8152963368658341;0.5986426547221388;no_guasto
2;300975;0.8896202591971529;0.89745185471403;0.8136307098760615;0.5317337001832664;0.8663938874898407;0.9340918518997572;0.8854969573677245;0.8152963368658341;0.5986426547221388;no_guasto
2;300976;0.8868334647747926;0.8974820724191921;0.8151950212072823;0.5324806185793889;0.8635294653874735;0.9344050732957474;0.8891130475268959;0.8158081223557033;0.598446717305778;no_guasto
2;300977;0.887463772252153;0.8978695238901283;0.8136910496424192;0.5333296697714835;0.8626989680800646;0.9328403293670324;0.8866695205600275;0.8173436345062984;0.598446717305778;no_guasto
2;300978;0.887463772252153;0.8978695238901283;0.8136910496424192;0.5333296697714835;0.8626989680800646;0.9328403293670324;0.8866695205600275;0.8173436345062984;0.598446717305778;no_guasto
2;300979;0.8899918444539255;0.8991883235045612;0.8162699676878655;0.5323813969654958;0.8655276548037987;0.9344050732957474;0.8870748033611497;0.8160064404746618;0.5971047357113235;no_guasto
2;300980;0.8899918444539255;0.8991883235045612;0.8162699676878655;0.5323813969654958;0.8655276548037987;0.9344050732957474;0.8870748033611497;0.8160064404746618;0.5971047357113235;no_guasto
2;300981;0.8887946108299888;0.8998648391763707;0.8123816779190149;0.5332306225755231;0.865227686573177;0.9347184323202165;0.8856503528906852;0.8145864450486735;0.601697567344221;no_guasto
2;300982;0.8911303999348443;0.8978049766050408;0.8143904116850993;0.5346786516493482;0.8625975934126842;0.933316507705631;0.8866149990410228;0.8160434196402381;0.5990202580091637;no_guasto
2;300983;0.8883471720494127;0.8995747320393152;0.8148809015033756;0.535277662545302;0.8626631663051114;0.9319036497881054;0.8866149990410228;0.8200225303203775;0.5994011248516511;no_guasto
2;300984;0.8883471720494127;0.8995747320393152;0.8148809015033756;0.535277662545302;0.8626631663051114;0.9319036497881054;0.8866149990410228;0.8200225303203775;0.5994011248516511;no_guasto
2;300985;0.888853959873673;0.8978695238901283;0.8180771578181855;0.5338294542506866;0.8623980159468227;0.9304978181506058;0.8894125286388043;0.8136015187753833;0.598446717305778;no_guasto
2;300986;0.8889942154823339;0.8944248236463084;0.8137788254532422;0.5344285128816477;0.8628966185763803;0.9362873031139431;0.8888060333942409;0.8151390511194658;0.5997905955010279;no_guasto
2;300987;0.8895461233032633;0.8975874174551914;0.8146526868520548;0.5311843292519123;0.8632644082331807;0.9361349541176116;0.8873816771335494;0.8183675299917474;0.5986426547221388;no_guasto
2;300988;0.8894835188938338;0.8988994959615927;0.8137018583878299;0.5312819617287976;0.8617969128518443;0.9329976915329908;0.8865160160156941;0.8208105713966983;0.5994011248516511;no_guasto
