Discrete_Time;Time;Acquisition_Number;Sm;Enc_Position;ActTemp_1;ActPos_1;ActVel_1;ActCur_1;VelRef_1;IsdIstwert_1;UsqRegleeausgang_1;UsdRegleeausgang_1;StellwertU_1;ActTemp_2;ActPos_2;ActVel_2;ActCur_2;VelRef_2;IsdIstwert_2;UsqRegleeausgang_2;UsdRegleeausgang_2;StellwertU_2;Board1Acc1X;Board1Acc1Y;Board1Acc1Z;Board1Acc2X;Board1Acc2Y;Board1Acc2Z;Board1Acc3X;Board1Acc3Y;Board1Acc3Z;Board2Acc1X;Board2Acc1Y;Board2Acc1Z;Board2Acc2X;Board2Acc2Y;Board2Acc2Z;Board2Acc3X;Board2Acc3Y;Board2Acc3Z;Board3Acc1X;Board3Acc1Y;Board3Acc1Z;Board3Acc2X;Board3Acc2Y;Board3Acc2Z;Board3Acc3X;Board3Acc3Y;Board3Acc3Z
356405;2022-07-22 15:31:21.629;51;218;9526312;38;4135522614.0;0.342302322387695;-13.351773;2.04338624321091e-09;0.003832497;-10.068821;-0.9102322;0.5192544;37;160088554.0;-3.00248114267985;13.276802;2.04338624321091e-09;-0.01891669;9.880178;-2.173281;0.4853249;0.4764405;0.3494873;0.7459717;0.3006592;0.5018311;-0.7696533;-0.8380127;0.02331543;0.4588623;-0.8770752;0.01550293;-0.5059815;-0.0333252;0.828003;0.4881592;0.8358155;0.01159668;0.4725342;-0.3692627;0.7733155;-0.5411377;-0.8321533;0.5565186;-0.00402832;-0.8087158;0.001831055;-0.5059815
356405;2022-07-22 15:31:21.629;51;218;9526312;38;4135522614.0;0.342302322387695;-13.351773;1.13393419750935e-09;0.003832497;-10.068821;-0.9102322;0.5192544;37;160088554.0;-3.00248114267985;13.276802;1.13393419750935e-09;-0.01891669;9.880178;-2.173281;0.4853249;0.4764405;0.3494873;0.7459717;0.3006592;0.5018311;-0.7696533;-0.8380127;0.02331543;0.4588623;-0.8770752;0.01550293;-0.5059815;-0.0333252;0.828003;0.4881592;0.8358155;0.01159668;0.4725342;-0.3692627;0.7733155;-0.5411377;-0.8321533;0.5565186;-0.00402832;-0.8087158;0.001831055;-0.5059815
356406;2022-07-22 15:31:21.630;51;218;9526317;38;4135522613.0;1.63988049825033;-13.257117;8.610812805446331e-09;-0.008413691;-10.56065;-0.8323989;0.5204017;37;160088558.0;1.60714594523112;13.283026;8.610812805446331e-09;-0.04522795;9.861183;-2.124277;0.4851048;0.4725342;0.3612061;0.7322998;0.2947998;0.5057373;-0.7716065;-0.8497314;0.009643555;0.4764405;-0.8770752;0.013549805;-0.5040283;-0.03723145;0.828003;0.4862061;0.8475342;0.00378418;0.4901123;-0.3927002;0.7694092;-0.5274658;-0.8302002;0.5369873;-0.009887695;-0.8087158;0.009643555;-0.5118408
356406;2022-07-22 15:31:21.630;51;218;9526317;38;4135522614.0;-0.140457073847453;-13.257117;1.28485665756731e-08;0.012374652;-10.087997;-0.9030321;0.5192872;37;160088556.0;-0.57097864151001;13.283026;1.28485665756731e-08;0.02609193;9.893414;-2.298591;0.4846595;0.4725342;0.3612061;0.7322998;0.2947998;0.5057373;-0.7716065;-0.8497314;0.009643555;0.4764405;-0.8770752;0.013549805;-0.5040283;-0.03723145;0.828003;0.4862061;0.8475342;0.00378418;0.4901123;-0.3927002;0.7694092;-0.5274658;-0.8302002;0.5369873;-0.009887695;-0.8087158;0.009643555;-0.5118408
356406;2022-07-22 15:31:21.630;51;218;9526317;38;4135522614.0;-0.140457073847453;-13.257117;1.86113594064056e-08;0.012374652;-10.087997;-0.9030321;0.5192872;37;160088556.0;-0.57097864151001;13.283026;1.86113594064056e-08;0.02609193;9.893414;-2.298591;0.4846595;0.4725342;0.3612061;0.7322998;0.2947998;0.5057373;-0.7716065;-0.8497314;0.009643555;0.4764405;-0.8770752;0.013549805;-0.5040283;-0.03723145;0.828003;0.4862061;0.8475342;0.00378418;0.4901123;-0.3927002;0.7694092;-0.5274658;-0.8302002;0.5369873;-0.009887695;-0.8087158;0.009643555;-0.5118408
356406;2022-07-22 15:31:21.630;51;218;9526317;38;4135522616.0;-1.52698532740275;-13.863669;2.627811522918e-08;-0.012539867;-9.766617;-0.8194792;0.5186104;37;160088557.0;0.669147888819377;13.80244;2.627811522918e-08;-0.0714846;9.482332;-2.046235;0.4857346;0.4725342;0.3612061;0.7322998;0.2947998;0.5057373;-0.7716065;-0.8497314;0.009643555;0.4764405;-0.8770752;0.013549805;-0.5040283;-0.03723145;0.828003;0.4862061;0.8475342;0.00378418;0.4901123;-0.3927002;0.7694092;-0.5274658;-0.8302002;0.5369873;-0.009887695;-0.8087158;0.009643555;-0.5118408
356407;2022-07-22 15:31:21.631;51;218;9526317;38;4135522619.0;-3.84908548990885;-13.863669;3.62858942495076e-08;0.014890482;-9.056753;-0.8749515;0.5169771;37;160088558.0;1.09479912122091;13.80244;3.62858942495076e-08;-0.05733691;8.674059;-2.097912;0.4860848;0.4764405;0.3397217;0.734253;0.2987061;0.5037842;-0.7657471;-0.8380127;0.009643555;0.4725342;-0.8790283;0.013549805;-0.5020752;-0.02941895;0.828003;0.4959717;0.828003;0.009643555;0.468628;-0.4024658;0.765503;-0.5216065;-0.8282471;0.5350342;-0.009887695;-0.810669;0.00378418;-0.5313721
356407;2022-07-22 15:31:21.631;51;218;9526317;38;4135522619.0;-3.84908548990885;-13.863669;4.91340455377376e-08;0.014890482;-9.056753;-0.8749515;0.5169771;37;160088558.0;1.09479912122091;13.80244;4.91340455377376e-08;-0.05733691;8.674059;-2.097912;0.4860848;0.4764405;0.3397217;0.734253;0.2987061;0.5037842;-0.7657471;-0.8380127;0.009643555;0.4725342;-0.8790283;0.013549805;-0.5020752;-0.02941895;0.828003;0.4959717;0.828003;0.009643555;0.468628;-0.4024658;0.765503;-0.5216065;-0.8282471;0.5350342;-0.009887695;-0.810669;0.00378418;-0.5313721
356407;2022-07-22 15:31:21.631;51;218;9526317;38;4135522616.0;-0.567503929138184;-13.863669;6.53883596198923e-08;-0.06608491;-7.743157;-0.6914932;0.514751;37;160088552.0;-3.94441795349121;13.80244;6.53883596198923e-08;0.01907246;7.160778;-2.271599;0.4869562;0.4764405;0.3397217;0.734253;0.2987061;0.5037842;-0.7657471;-0.8380127;0.009643555;0.4725342;-0.8790283;0.013549805;-0.5020752;-0.02941895;0.828003;0.4959717;0.828003;0.009643555;0.468628;-0.4024658;0.765503;-0.5216065;-0.8282471;0.5350342;-0.009887695;-0.810669;0.00378418;-0.5313721
356407;2022-07-22 15:31:21.631;51;218;9526317;38;4135522619.0;-2.5172651608785;-13.918303;8.5685221068472e-08;-0.04556007;-6.960474;-0.7470594;0.5130058;37;160088557.0;0.136176427205404;13.940202;8.5685221068472e-08;0.08781633;6.182728;-2.439003;0.4872721;0.4764405;0.3397217;0.734253;0.2987061;0.5037842;-0.7657471;-0.8380127;0.009643555;0.4725342;-0.8790283;0.013549805;-0.5020752;-0.02941895;0.828003;0.4959717;0.828003;0.009643555;0.468628;-0.4024658;0.765503;-0.5216065;-0.8282471;0.5350342;-0.009887695;-0.810669;0.00378418;-0.5313721
