Acquisition_Number;Discrete_Time;Board1Acc1;Board1Acc2;Board1Acc3;Board2Acc1;Board2Acc2;Board2Acc3;Board3Acc1;Board3Acc2;Board3Acc3
50;345469;0.8838322212164674;0.9927129271320626;0.7950440834394806;0.7943022819483279;0.9390019762849124;0.9062542938156052;0.8554644988796203;0.8857737892232663;0.8733510786288502
50;345470;0.8817691351281076;0.991959960513477;0.7934015100731404;0.802050427580317;0.9407199144965118;0.9084767437289584;0.8546669438908853;0.8829379017786797;0.8717908264132784
50;345471;0.8828770357147032;0.9916633907234214;0.7931606096260646;0.7994606709748118;0.9404146173332416;0.9099421088537591;0.8542096121607672;0.8853947457202358;0.8698475195694159
50;345472;0.8820842650807701;0.9933144023253204;0.7921839202937145;0.7925791125149859;0.9390565057880468;0.909186491726624;0.8567194359579205;0.8844255875792244;0.8687455670892945
50;345473;0.8841473218119791;0.9925618919914768;0.7906580116512152;0.789139176026934;0.9401652959322898;0.910606038084735;0.8573660286176851;0.8844255875792244;0.8703057504576533
50;345474;0.8838240976398133;0.9924131207145004;0.7920002039997527;0.7981820742007869;0.9394182056365732;0.9082855196113808;0.8561108929561373;0.8852552072745198;0.8717908264132784
50;345475;0.8838240976398133;0.9924131207145004;0.7920002039997527;0.7981820742007869;0.9394182056365732;0.9082855196113808;0.8561108929561373;0.8852552072745198;0.8717908264132784
50;345476;0.8828770357147032;0.9935399157475248;0.7934015100731404;0.79606918880771;0.9415237377337262;0.907906969691684;0.8577867611607521;0.8822229785158396;0.8733510786288502
50;345477;0.8843099823373756;0.9931640334730698;0.7940679861915634;0.7969116330785251;0.9390565057880468;0.908238054619224;0.8574991780364023;0.8858438979148392;0.8773268032995083
50;345478;0.883192477096155;0.99444535808263;0.7934736040273083;0.8001162600929207;0.9394182056365732;0.9058751568804284;0.8564150448819572;0.8857737892232663;0.8730978952597427
50;345479;0.8852658647908789;0.993089844960777;0.792425344278403;0.7990335779547423;0.9399161209563064;0.9071501802444152;0.858278936766091;0.8877113984421896;0.8708829363320272
50;345480;0.8838240976398133;0.9907566363752912;0.792367767491939;0.7970992359828081;0.9394182056365732;0.908191169933512;0.8574991780364023;0.8839062146498157;0.8724432220111898
50;345481;0.8838240976398133;0.9907566363752912;0.792367767491939;0.7970992359828081;0.9394182056365732;0.908191169933512;0.8574991780364023;0.8839062146498157;0.8724432220111898
50;345482;0.8835081752658894;0.9917347752416776;0.7918166093048379;0.7986073857997118;0.9380032171320536;0.9106981406876185;0.8555994632278596;0.8845693196363059;0.8753661303107247
50;345483;0.885102623976203;0.9939160879157284;0.7924955303368901;0.7960196059888753;0.9389487946147314;0.9066335337831936;0.8578038933351071;0.8850915092997984;0.8714077160406086
50;345484;0.8828883495285865;0.9939936349785992;0.7929201030378364;0.8011780449199335;0.9396108262748788;0.9103667346192256;0.8560919510339913;0.8831504334603081;0.8767338596770167
50;345485;0.8806476228904293;0.9941419775261714;0.7942674194039532;0.8003175758204538;0.9401652959322898;0.9103200729969136;0.8550078604687325;0.8834567378747373;0.8727009745856401
50;345486;0.8814451756232234;0.9958722564196416;0.7940826269944673;0.7990335779547423;0.9396670899692025;0.908052004139141;0.8562442619154601;0.884805460996931;0.8697763263250342
50;345487;0.8850940823597382;0.9947442180330356;0.7934015100731404;0.8003175758204538;0.9401652959322898;0.9086641728227188;0.8565672095697409;0.8854665974802471;0.8728968652188263
50;345488;0.883192477096155;0.992938002210008;0.793769473265065;0.797954133886167;0.9376985209186024;0.9058751568804284;0.856282767829742;0.8838374730611402;0.8713366073698268
50;345489;0.8828770357147032;0.9900038976203464;0.7928505597031609;0.8037577799010865;0.9399161209563064;0.909564248387241;0.8578416932782857;0.8866050059594478;0.8717908264132784
50;345490;0.8828770357147032;0.9900038976203464;0.7928505597031609;0.8037577799010865;0.9399161209563064;0.909564248387241;0.8578416932782857;0.8866050059594478;0.8717908264132784
50;345491;0.8866880099636784;0.9945965085113356;0.7917589528223434;0.8005416489542502;0.9401099070138492;0.9059243165748088;0.8527685400450439;0.8896503911519044;0.8784866247249079
50;345492;0.8874807136159878;0.9943687909981156;0.7920002039997527;0.7966731192440203;0.9390565057880468;0.9083821392419048;0.8549560219179152;0.8879299904838588;0.8787511329555517
50;345493;0.8847782607167083;0.9951995905888452;0.7925434639147662;0.7986053708591625;0.940664082490704;0.9075285231928836;0.8533805353952002;0.8853947457202358;0.8747171545428696
50;345494;0.8849333303149906;0.9959492647923348;0.7905991824008147;0.8007473628235761;0.9409690889444252;0.9092324290266118;0.8538702307423699;0.8864367691129892;0.8775776651132586
