Discrete_Time;Time;Acquisition_Number;Sm;Enc_Position;ActTemp_1;ActPos_1;ActVel_1;ActCur_1;VelRef_1;IsdIstwert_1;UsqRegleeausgang_1;UsdRegleeausgang_1;StellwertU_1;ActTemp_2;ActPos_2;ActVel_2;ActCur_2;VelRef_2;IsdIstwert_2;UsqRegleeausgang_2;UsdRegleeausgang_2;StellwertU_2;Board1Acc1X;Board1Acc1Y;Board1Acc1Z;Board1Acc2X;Board1Acc2Y;Board1Acc2Z;Board1Acc3X;Board1Acc3Y;Board1Acc3Z;Board2Acc1X;Board2Acc1Y;Board2Acc1Z;Board2Acc2X;Board2Acc2Y;Board2Acc2Z;Board2Acc3X;Board2Acc3Y;Board2Acc3Z;Board3Acc1X;Board3Acc1Y;Board3Acc1Z;Board3Acc2X;Board3Acc2Y;Board3Acc2Z;Board3Acc3X;Board3Acc3Y;Board3Acc3Z
360047;2022-07-22 15:31:30.654;52;218;9895526;38;4129368861.0;1.22242816289266;-16.90382;1.13393419750935e-09;-0.02523147;-7.871197;2.606117;0.4831689;37;166279070.0;0.386777400970459;17.05586;1.13393419750935e-09;0.08401047;8.826244;-2.36349;0.5174517;0.4764405;0.3553467;0.7420655;0.2987061;0.5076905;-0.7774658;-0.8594971;0.02722168;0.468628;-0.8848877;0.01940918;-0.5079346;-0.03723145;0.8260498;0.4920655;0.8514404;0.01159668;0.4881592;-0.3927002;0.765503;-0.5333252;-0.8341065;0.5506592;-0.013793945;-0.8048096;0.00378418;-0.5177002
360047;2022-07-22 15:31:30.654;52;218;9895526;38;4129368861.0;1.22242816289266;-16.90382;2.04338624321091e-09;-0.02523147;-7.871197;2.606117;0.4831689;37;166279070.0;0.386777400970459;17.05586;2.04338624321091e-09;0.08401047;8.826244;-2.36349;0.5174517;0.4764405;0.3553467;0.7420655;0.2987061;0.5076905;-0.7774658;-0.8594971;0.02722168;0.468628;-0.8848877;0.01940918;-0.5079346;-0.03723145;0.8260498;0.4920655;0.8514404;0.01159668;0.4881592;-0.3927002;0.765503;-0.5333252;-0.8341065;0.5506592;-0.013793945;-0.8048096;0.00378418;-0.5177002
360048;2022-07-22 15:31:30.655;52;218;9895526;38;4129368863.0;-0.440341711044311;-16.99888;8.610812805446331e-09;-0.09248637;-9.363989;2.801401;0.4801249;37;166279071.0;1.29533354441325;16.99031;8.610812805446331e-09;-0.006015199;9.766477;-2.160276;0.5196142;0.4764405;0.3553467;0.7479248;0.3026123;0.5076905;-0.7579346;-0.8536377;0.02526856;0.4647217;-0.8809814;0.01940918;-0.5001221;-0.03527832;0.828003;0.4783936;0.8260498;0.01159668;0.4940186;-0.3868408;0.7674561;-0.5469971;-0.8341065;0.5447998;-0.00402832;-0.8067627;0.00769043;-0.513794
360048;2022-07-22 15:31:30.655;52;218;9895526;38;4129368863.0;-0.440341711044311;-16.99888;1.28485665756731e-08;-0.09248637;-9.363989;2.801401;0.4801249;37;166279071.0;1.29533354441325;16.99031;1.28485665756731e-08;-0.006015199;9.766477;-2.160276;0.5196142;0.4764405;0.3553467;0.7479248;0.3026123;0.5076905;-0.7579346;-0.8536377;0.02526856;0.4647217;-0.8809814;0.01940918;-0.5001221;-0.03527832;0.828003;0.4783936;0.8260498;0.01159668;0.4940186;-0.3868408;0.7674561;-0.5469971;-0.8341065;0.5447998;-0.00402832;-0.8067627;0.00769043;-0.513794
360048;2022-07-22 15:31:30.655;52;218;9895526;38;4129368861.0;1.07465887069702;-16.99888;1.86113594064056e-08;-0.04517468;-7.923466;2.640678;0.4830695;37;166279067.0;-2.43392976125081;16.99031;1.86113594064056e-08;0.07385342;8.463939;-2.337488;0.5164822;0.4764405;0.3553467;0.7479248;0.3026123;0.5076905;-0.7579346;-0.8536377;0.02526856;0.4647217;-0.8809814;0.01940918;-0.5001221;-0.03527832;0.828003;0.4783936;0.8260498;0.01159668;0.4940186;-0.3868408;0.7674561;-0.5469971;-0.8341065;0.5447998;-0.00402832;-0.8067627;0.00769043;-0.513794
360048;2022-07-22 15:31:30.655;52;218;9895526;38;4129368863.0;-0.452212373415629;-17.05325;2.627811522918e-08;-0.09725537;-8.204333;2.802803;0.4826359;37;166279071.0;1.88762458165487;17.0612;2.627811522918e-08;0.03003351;8.919219;-2.233256;0.5178532;0.4764405;0.3553467;0.7479248;0.3026123;0.5076905;-0.7579346;-0.8536377;0.02526856;0.4647217;-0.8809814;0.01940918;-0.5001221;-0.03527832;0.828003;0.4783936;0.8260498;0.01159668;0.4940186;-0.3868408;0.7674561;-0.5469971;-0.8341065;0.5447998;-0.00402832;-0.8067627;0.00769043;-0.513794
360049;2022-07-22 15:31:30.656;52;218;9895526;38;4129368863.0;-0.35218334197998;-17.05325;3.62858942495076e-08;-0.05723947;-9.286083;2.716369;0.4803028;37;166279070.0;0.963798761367798;17.0612;3.62858942495076e-08;0.07401661;9.766531;-2.342241;0.5195011;0.4725342;0.3553467;0.7440186;0.2908936;0.5096436;-0.7755127;-0.8497314;0.01550293;0.4725342;-0.8887939;0.02331543;-0.5040283;-0.0411377;0.8299561;0.4881592;0.8377686;0.009643555;0.484253;-0.3809815;0.7713623;-0.5372315;-0.8341065;0.5487061;-0.002075195;-0.8165283;0.00378418;-0.5255127
360049;2022-07-22 15:31:30.656;52;218;9895526;38;4129368864.0;-1.18559328715007;-17.05325;4.91340455377376e-08;-0.05670943;-9.905461;2.72429;0.4790412;37;166279069.0;-0.407519181569417;17.0612;4.91340455377376e-08;0.01728628;10.378329;-2.201791;0.5207412;0.4725342;0.3553467;0.7440186;0.2908936;0.5096436;-0.7755127;-0.8497314;0.01550293;0.4725342;-0.8887939;0.02331543;-0.5040283;-0.0411377;0.8299561;0.4881592;0.8377686;0.009643555;0.484253;-0.3809815;0.7713623;-0.5372315;-0.8341065;0.5487061;-0.002075195;-0.8165283;0.00378418;-0.5255127
360049;2022-07-22 15:31:30.656;52;218;9895526;38;4129368864.0;-0.822084029515584;-17.05325;6.53883596198923e-08;-0.06478612;-10.109998;2.721575;0.4785538;37;166279068.0;-0.475590229034424;17.0612;6.53883596198923e-08;-0.006247849;10.66867;-2.145471;0.5213708;0.4725342;0.3553467;0.7440186;0.2908936;0.5096436;-0.7755127;-0.8497314;0.01550293;0.4725342;-0.8887939;0.02331543;-0.5040283;-0.0411377;0.8299561;0.4881592;0.8377686;0.009643555;0.484253;-0.3809815;0.7713623;-0.5372315;-0.8341065;0.5487061;-0.002075195;-0.8165283;0.00378418;-0.5255127
360049;2022-07-22 15:31:30.656;52;218;9895526;38;4129368864.0;-0.640239675839742;-16.60419;8.5685221068472e-08;-0.03274844;-9.347501;2.623013;0.4801957;37;166279070.0;0.540922522544861;16.60736;8.5685221068472e-08;-0.014818157;9.874055;-2.119787;0.519796;0.4725342;0.3553467;0.7440186;0.2908936;0.5096436;-0.7755127;-0.8497314;0.01550293;0.4725342;-0.8887939;0.02331543;-0.5040283;-0.0411377;0.8299561;0.4881592;0.8377686;0.009643555;0.484253;-0.3809815;0.7713623;-0.5372315;-0.8341065;0.5487061;-0.002075195;-0.8165283;0.00378418;-0.5255127
